index,answerKey,question,choices,A,B,C,D
245,A,The fact that Joe was able to memorize the list in spite of his apparent  state proved that part of his brain was what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['awake', 'repeat', 'sleeping', 'concentrate', 'read aloud'],
      dtype=object)}",awake,repeat,sleeping,concentrate
848,C,Where would you buy a finely crafted writing instrument?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nasa', 'classroom', 'stationery store', 'purse',
       'office supply store'], dtype=object)}",nasa,classroom,stationery store,purse
793,C,Where do people get beer after a bit of gambling?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bottle', 'grocery store', 'casino', 'spaceship', 'hockey game'],
      dtype=object)}",bottle,grocery store,casino,spaceship
168,A,Where are people likely to become impatient?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['end of line', 'buildings', 'apartment', ""neighbor's house"",
       'address'], dtype=object)}",end of line,buildings,apartment,neighbor's house
787,D,Where would you put a plate immediately after eating from it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen cupboard', 'floor', 'table', 'dishwasher', 'flea market'],
      dtype=object)}",kitchen cupboard,floor,table,dishwasher
634,B,Where would you put some ham if you want to cook it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hamshackle', 'pizza', 'fridge', 'refrigerator', 'part of meal'],
      dtype=object)}",hamshackle,pizza,fridge,refrigerator
282,A,"For some reason she was devoid of regular emotions, buying products was the only way she could feel what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'owning', 'debt', 'spending money', 'smart'],
      dtype=object)}",pleasure,owning,debt,spending money
554,C,"His parents thought he was suffering from boredom, but the teen loved to lay in bed and just do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['meet interesting people', 'lift weights', 'listen to music',
       'play chess', 'entertain'], dtype=object)}",meet interesting people,lift weights,listen to music,play chess
1182,B,"Computers have allowed everybody to answer questions they have quickly, but still we seem to be getting duller despite access to this what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['economic boom', 'advance knowledge', 'produce sound', 'teach',
       'follow instructions'], dtype=object)}",economic boom,advance knowledge,produce sound,teach
413,B,Where might it be hard to get furniture to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apartment', 'loft', 'store', 'rug', 'stairs'], dtype=object)}",apartment,loft,store,rug
839,A,What can a newspaper be used to do to an engagement?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['announce', 'communicate', 'educate', 'inform', 'cancel'],
      dtype=object)}",announce,communicate,educate,inform
388,A,Where are you likely to find a Japanese restaurant not run by people from Japan?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['california', 'downtown', 'large town', 'tokio', 'china town'],
      dtype=object)}",california,downtown,large town,tokio
948,D,"The man was giving assistance to a pan handler in the streets, how did he give assistance?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling good', 'killing', 'law suits', 'out of pocket',
       'feel loved'], dtype=object)}",feeling good,killing,law suits,out of pocket
72,D,The kids didn't clean up after they had done what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learn things', 'play games', 'disneyland', 'play with toys',
       'talking'], dtype=object)}",learn things,play games,disneyland,play with toys
58,B,"If there is a place that is hot and arid, what could it be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bland', 'lifeless', 'sandy', 'neutral', 'freezing'], dtype=object)}",bland,lifeless,sandy,neutral
1002,C,How can someone die from eating hamburger?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gas', 'getting full', 'mad cow disease', 'death', 'feel full'],
      dtype=object)}",gas,getting full,mad cow disease,death
1109,D,Where do apples form on an apple tree?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['south africa', 'sunshine', 'new york', 'bloom', 'trunk'],
      dtype=object)}",south africa,sunshine,new york,bloom
607,D,Where would you store a pillow case that is not in use?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen cupboard', 'bedding store', 'england', 'drawer',
       'bedroom'], dtype=object)}",kitchen cupboard,bedding store,england,drawer
1169,D,Where would you find a ticket booth and see a concert?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clerk', 'indoors', 'movie theater', 'venue', 'auditorium'],
      dtype=object)}",clerk,indoors,movie theater,venue
865,C,The department to where vendors deliver goods for sale is called what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['delivered', 'take away', 'receiving', 'pick up', 'keep'],
      dtype=object)}",delivered,take away,receiving,pick up
454,C,"If somebody is working at a reception desk, they are located at the front entrance of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['motel', 'hostel', 'building', 'lobby', 'office park'],
      dtype=object)}",motel,hostel,building,lobby
526,C,The end of the barrel of what primitive firearm is bell shaped?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['barbell', 'funnel', 'blunderbuss', 'wind instrument',
       'kettlebell'], dtype=object)}",barbell,funnel,blunderbuss,wind instrument
56,B,"The freeway had no traffic and few buildings, where is it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['california', 'countryside', 'big town', 'florida', 'america'],
      dtype=object)}",california,countryside,big town,florida
230,C,John got his tax refund back.  He treated it like it was what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['candy', 'death and', 'free money', 'discount', 'credit'],
      dtype=object)}",candy,death and,free money,discount
419,D,What kind of service is my body a part of when I'm no longer here?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bodycam', 'home', 'coffin', 'funeral', 'graveyard'], dtype=object)}",bodycam,home,coffin,funeral
1183,B,"There was a long cottage somewhere.  People thought it was haunted.  It was overgrown, there was nothing near it.  It's was far into the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mountains', 'countryside', 'train', 'painting', 'village'],
      dtype=object)}",mountains,countryside,train,painting
570,A,What do people do when they think too quickly?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jump to conclusions', 'hurry home', 'build trust', 'pay bills',
       'sing'], dtype=object)}",jump to conclusions,hurry home,build trust,pay bills
1100,D,If you are committing perjury you have done what while under oath?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['crime', 'disrespect judge', 'embarrassment', 'lie', 'indictment'],
      dtype=object)}",crime,disrespect judge,embarrassment,lie
1104,B,"Animals come in all types, some fly thanks to their lightweight hollow what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tails', 'bones', 'eyes', 'heads', 'bodies'], dtype=object)}",tails,bones,eyes,heads
657,B,"The juror was quite bored and zoning out but wanted to convey he was hearing testimony, so he just sat there doing what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['take notes', 'nodding', 'change of heart', 'writing down',
       'listening'], dtype=object)}",take notes,nodding,change of heart,writing down
952,D,What may you have after awaking after a night of heavy drinking?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get up', 'discomfort', 'discomfort', 'headache', 'shock'],
      dtype=object)}",get up,discomfort,discomfort,headache
574,C,"The person tried to reduce his weight with a shrink ray, but he got it backwards and only did what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['grow', 'gain weight', 'make larger', 'augment', 'get bigger'],
      dtype=object)}",grow,gain weight,make larger,augment
1160,B,"I am cold, what should I do to stay warm?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stay in bed', 'light fire', 'freezer', 'lay on ice', 'spit'],
      dtype=object)}",stay in bed,light fire,freezer,lay on ice
837,B,"The pioneer went to the general store for storage measures, what was he looking for?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['checkers', 'barrels', 'baking soda', 'buffalo', 'salt'],
      dtype=object)}",checkers,barrels,baking soda,buffalo
113,D,"james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wander', 'migrate', 'scare', 'disturb', 'agitate'], dtype=object)}",wander,migrate,scare,disturb
1052,C,If you want to kill someone you can do what to them with a gun?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sip through', 'damnation', 'shoot', 'commit crime',
       'eat breakfast'], dtype=object)}",sip through,damnation,shoot,commit crime
919,A,James need to use a toilet but there were no public ones in sight.  Eventually he broke down and did something very expensive so that he could get a toilet.  Where might he have gone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['motel room', 'apartment', 'bathroom', 'games', 'house'],
      dtype=object)}",motel room,apartment,bathroom,games
134,D,"The runner was in third place, but he pushed harder and thought he might be able to reach second.  What was beginning to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['near finish line', 'finish', 'get tired', 'gain ground',
       'trip over'], dtype=object)}",near finish line,finish,get tired,gain ground
353,B,Where can you store your dishes in your dwelling?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drawer', 'shelf', 'pantry', 'apartment', 'cabinet'], dtype=object)}",drawer,shelf,pantry,apartment
108,A,James looked up and saw the start twinkling in the black yonder.  He marveled the sheer number of them and the size of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['universe', 'orbit', 'night sky', 'outer space', 'his wallet'],
      dtype=object)}",universe,orbit,night sky,outer space
